"","Code","Yield"
"124","ss600340",0.205623856403171
"68","ss601888",0.186695236138084
"81","ss601898",0.131492194354748
"216","sz000627",0.123066975818403
"44","sz002468",0.117394260925935
"117","sz002024",0.112798385938316
"134","ss600271",0.103027645016071
"192","sz000069",0.0881740291616966
"33","sz300144",0.0798879559207573
"97","ss601328",0.0565517222362326
"35","sz300142",0.0541971922439091
"100","ss601998",0.052819384334629
"93","sz002146",0.0486501794579792
"59","ss601117",0.0474012120328291
"82","sz002202",0.0446636951595349
"47","ss601818",0.0435297391992733
"128","ss600015",0.0415423853753598
"232","ss600809",0.0406777070020046
"162","ss600038",0.0406218203046866
"169","ss600299",0.039074401639883
"145","ss600362",0.0384834702412031
"198","ss600085",0.0369518909795232
"12","ss601012",0.0345447131881238
"53","sz002410",0.0343676593291793
"174","ss600000",0.0330598170255016
"239","ss600606",0.0311541605885981
"17","ss601336",0.0278783812244583
"230","ss601607",0.026521098329128
"10","sz300347",0.0262054448193501
"172","ss600219",0.0248177386151731
"87","ss601088",0.0246491179691282
"201","sz000776",0.0239360261985824
"223","ss600705",0.0231921003794624
"104","ss601166",0.0218867299454388
"188","ss600104",0.0218518737063766
"109","ss601006",0.0211409303379018
"211","ss600795",0.0200707621555347
"54","sz300059",0.0163278877209907
"213","sz000671",0.015849844370744
"101","sz002129",0.0155392174180815
"147","ss600519",0.0149097092079855
"70","ss601788",0.0142252109414973
"28","sz002555",0.013190187985076
"50","ss601288",0.0117361452223481
"56","ss601688",0.0112009425800634
"31","ss601216",0.0104515413998543
"173","ss600221",0.0102548229728991
"205","ss600061",0.010238363738633
"114","ss600027",0.00915060427248093
"193","ss600118",0.00907386218740314
"229","ss600848",0.00858077962728077
"122","ss600438",0.00844789377516797
"71","ss601668",0.00820504349659545
"194","ss600109",0.00818311944988559
"144","ss600583",0.00814042915434299
"42","ss601018",0.00803224204017972
"83","ss601601",0.00801599586376578
"202","sz000625",0.0079725416020795
"88","ss601808",0.00776199921993714
"235","ss600674",0.0077340753748405
"48","sz002460",0.00752228930180343
"214","sz000656",0.00735953733406669
"38","ss600998",0.00732982409752769
"14","ss601800",0.00724501240224495
"164","ss600297",0.00724449230959023
"95","ss601009",0.00722274474504792
"80","ss601186",0.0070653505499616
"96","ss601919",0.00688593367037815
"84","ss601390",0.00685764517637732
"220","ss600745",0.00666694719800809
"150","ss600028",0.00652102837853219
"108","ss601111",0.00645019710896055
"89","ss601939",0.00631290536819806
"86","sz002179",0.00574101432136742
"34","sz002508",0.00566133022383219
"196","sz000066",0.00562126366896187
"78","sz002230",0.005603062461774
"21","ss601669",0.00548808757542485
"66","sz300014",0.00507727362297983
"197","sz000768",0.00501176029777861
"123","sz000100",0.00499456052028346
"133","ss600029",0.00483881330880132
"22","ss601633",0.00482904710400178
"240","sz000001",0.00475808040847947
"186","sz000876",0.00474513235347174
"199","ss600089",0.00460775671661828
"161","ss600016",0.00442710149885439
"103","ss601318",0.00438387996543788
"85","ss601857",0.00438063505868236
"215","sz000651",0.00430839129381533
"200","sz000728",0.00427702053343881
"234","ss600690",0.00410126753705176
"168","ss600233",0.00397535155982709
"1","sz002736",0.00385013142383839
"69","ss601618",0.00356030822852871
"77","sz002236",0.00353961524457702
"190","ss600115",0.00333465233527286
"113","sz002044",0.00330428475795808
"149","ss600346",0.0031540862230226
"160","ss600398",0.00314411691958982
"5","ss603288",0.00312404317420834
"121","sz002008",0.00311672397044149
"19","sz002624",0.00308155159411228
"118","ss600482",0.00302279738087519
"236","ss600660",0.00302055966174053
"209","sz000703",0.00301793890252888
"18","ss601555",0.00292110792157074
"154","ss600010",0.00279897331521806
"125","ss600570",0.00267463921188282
"146","ss600011",0.00251626058493004
"179","ss600177",0.00248103523768006
"49","sz002456",0.0022415073879487
"224","ss600893",0.0022367269936383
"7","ss601225",0.00209790178194824
"163","ss600019",0.00207176086074057
"165","ss600276",0.00199401665580856
"107","ss600018",0.001904832511604
"36","sz300136",0.00189657005439647
"130","ss600487",0.00186081132942717
"208","sz000709",0.00180828438818925
"221","ss600741",0.0017820444852128
"65","sz300003",0.00161153765755895
"241","sz000002",0.0015750698352317
"129","ss600547",0.00153957303501784
"142","ss600036",0.00113333658286785
"58","ss601877",0.00112285848404747
"184","ss600170",0.00111117472785094
"233","sz000538",0.0010894425808663
"204","ss600068",0.00108422092998595
"99","ss601600",0.000898451737596506
"106","ss601398",0.000862242810055092
"137","ss600004",0.000855783856830161
"40","sz300122",0.000847738256570585
"46","sz002463",0.000846087529805306
"61","ss601989",0.000771738416341261
"183","ss600188",0.000732301264945612
"151","ss600372",0.000712770449512679
"51","sz002422",0.000624365389382708
"170","sz000961",0.000600939337414674
"37","sz002493",0.000581535194901672
"4","ss603369",0.000554035876792591
"218","sz000596",0.000546939705649896
"131","ss600489",0.000458834601522629
"57","sz002352",0.000303108572321964
"231","ss600837",0.000268948429257065
"102","sz002120",0.00013968293625588
"90","ss601169",0.000138125094840014
"98","sz000338",0
"119","sz002001",0
"139","ss600522",0
"157","sz000725",0
"52","sz002415",-2.46271303572243e-07
"116","sz002027",-5.76277329000785e-06
"171","sz000963",-5.42132245540117e-05
"111","ss601988",-7.24351564259651e-05
"9","ss603993",-0.00010542182790696
"72","ss601727",-0.000134477269097544
"181","ss600183",-0.000134493799063495
"191","ss600111",-0.000229156000511876
"135","ss600031",-0.000245328758148311
"64","sz002304",-0.000373783618590418
"30","ss601992",-0.000380427417665974
"156","ss600390",-0.000400591081772927
"105","ss601628",-0.000468041806758079
"140","ss600050",-0.0005159373442436
"74","ss601766",-0.000527179250884857
"41","sz300124",-0.000528375052139096
"207","ss600066",-0.000699729537425808
"176","ss600208",-0.000759709994873847
"158","ss600369",-0.000873113552486537
"226","ss600886",-0.000902768217792671
"195","sz000783",-0.00102176576762525
